@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 282\nSize of the tree: 537\n','Number of leaves: 260\nSize of the tree: 496\n','Number of leaves: 277\nSize of the tree: 527\n','Number of leaves: 271\nSize of the tree: 512\n','Number of leaves: 257\nSize of the tree: 487\n','Number of leaves: 248\nSize of the tree: 471\n','Number of leaves: 233\nSize of the tree: 445\n','Number of leaves: 250\nSize of the tree: 475\n','Number of leaves: 264\nSize of the tree: 499\n','Number of leaves: 245\nSize of the tree: 464\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

FAS,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,295,105,0,73.75,26.25,0,0.577792,0.302222,0.392287,71.547045,85.386132,603.597757,41091.756425,-40488.158669,1.508994,102.729391,-101.220397,239.305288,0.598263,39.646484,0.835165,152,0.224771,49,0.775229,169,0.164835,30,0.756219,0.835165,0.793734,0.607925,0.8009,0.710331,0.7375,0.163939,0.836061,0.2625,0.735354,0.7375,0.733705,0.583011,0.799636,0.646221,0.711746,0.7375,0.325,0.001,0.3125,0.015625,312.5,15.625,13431,798279,91079,90.5,66.75,?,?,?,?,?
FAS,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,292,108,0,73,27,0,0.562939,0.296667,0.385381,70.231841,83.883012,603.597757,28224.775975,-27621.178219,1.508994,70.56194,-69.052946,244.229036,0.610573,40.462217,0.835165,152,0.247706,54,0.752294,164,0.164835,30,0.737864,0.835165,0.783505,0.585338,0.802702,0.700552,0.73,0.176009,0.823991,0.27,0.732637,0.73,0.725749,0.568649,0.805616,0.645469,0.707713,0.73,0.317,0,0.3125,0,312.5,0,13431,798279,91079,93.5,66.666667,?,?,?,?,?
FAS,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,276,124,0,69,31,0,0.496932,0.315,0.408475,74.572011,88.909717,603.597757,46471.831613,-45868.233856,1.508994,116.179579,-114.670585,214.736608,0.536842,35.576111,0.785714,143,0.238532,52,0.761468,166,0.214286,39,0.733333,0.785714,0.758621,0.545132,0.781921,0.683104,0.69,0.1958,0.8042,0.31,0.694847,0.69,0.681056,0.50802,0.767353,0.597983,0.648186,0.69,0.32,0.001,0.3125,0.015625,312.5,15.625,13431,798279,91079,89.25,66.666667,?,?,?,?,?
FAS,1,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,289,111,0,72.25,27.75,0,0.553589,0.307778,0.399537,72.835448,86.928196,603.977757,46458.831613,-45854.853856,1.509944,116.147079,-114.637135,230.497622,0.576244,38.163263,0.839779,152,0.219178,48,0.780822,171,0.160221,29,0.76,0.839779,0.7979,0.617794,0.80055,0.7148,0.7225,0.167906,0.832094,0.2775,0.716483,0.7225,0.716535,0.562687,0.790106,0.632662,0.683935,0.7225,0.329,0,0.328125,0,328.125,0,13431,798279,91079,89.25,66.666667,?,?,?,?,?
FAS,1,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,271,129,0,67.75,32.25,0,0.482489,0.316667,0.410284,74.938999,89.266597,603.977757,44332.001538,-43728.023781,1.509944,110.830004,-109.320059,214.916407,0.537291,35.583497,0.779006,141,0.214612,47,0.785388,172,0.220994,40,0.75,0.779006,0.764228,0.562855,0.792427,0.698006,0.6775,0.189224,0.810776,0.3225,0.670821,0.6775,0.670638,0.492958,0.77155,0.593269,0.630802,0.6775,0.329,0,0.328125,0,328.125,0,13431,798279,91079,89.75,66.75,?,?,?,?,?
FAS,1,6,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,291,109,0,72.75,27.25,0,0.561747,0.298889,0.387537,70.731897,84.31745,603.977757,30371.60605,-29767.628293,1.509944,75.929015,-74.419071,244.232156,0.61058,40.437277,0.779006,141,0.191781,42,0.808219,177,0.220994,40,0.770492,0.779006,0.774725,0.586692,0.815106,0.720472,0.7275,0.170395,0.829605,0.2725,0.739039,0.7275,0.724001,0.570485,0.810014,0.652258,0.70467,0.7275,0.325,0.001,0.328125,0,328.125,0,13431,798279,91079,93,66.916667,?,?,?,?,?
FAS,1,7,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,289,111,0,72.25,27.75,0,0.554015,0.305,0.395811,72.140261,86.066898,604.787718,41096.756425,-40491.968707,1.511969,102.741891,-101.229922,232.505288,0.581263,38.444115,0.78453,142,0.205479,45,0.794521,174,0.21547,39,0.759358,0.78453,0.771739,0.577654,0.800462,0.705868,0.7225,0.170257,0.829743,0.2775,0.722888,0.7225,0.715431,0.561395,0.79642,0.63343,0.6863,0.7225,0.33,0,0.328125,0,328.125,0,13431,798279,91079,90.5,66.75,?,?,?,?,?
FAS,1,8,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,279,121,0,69.75,30.25,0,0.50768,0.310556,0.402768,73.454291,87.579613,604.787718,40035.341388,-39430.55367,1.511969,100.088353,-98.576384,222.260762,0.555652,36.750211,0.828729,150,0.246575,54,0.753425,165,0.171271,31,0.735294,0.828729,0.779221,0.579637,0.798834,0.693818,0.6975,0.19089,0.80911,0.3025,0.69396,0.6975,0.683974,0.520246,0.782102,0.606033,0.642552,0.6975,0.299,0,0.296875,0,296.875,0,13431,798279,91079,90.75,66.75,?,?,?,?,?
FAS,1,9,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,277,123,0,69.25,30.75,0,0.503997,0.31,0.402078,73.322888,87.42952,604.787718,36820.096275,-36215.308557,1.511969,92.050241,-90.538271,224.436944,0.561092,37.110037,0.79558,144,0.210046,46,0.789954,173,0.20442,37,0.757895,0.79558,0.77628,0.583616,0.809291,0.706918,0.6925,0.187675,0.812325,0.3075,0.696563,0.6925,0.685336,0.516681,0.783101,0.607229,0.652739,0.6925,0.314,0,0.328125,0,328.125,0,13431,798279,91079,91.5,66.75,?,?,?,?,?
FAS,1,10,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20251201.1941,3600,400,293,107,0,73.25,26.75,0,0.570492,0.301667,0.391578,71.351843,85.14637,604.787718,38947.92635,-38343.138632,1.511969,97.369816,-95.857847,239.419484,0.598549,39.587359,0.81768,148,0.219178,48,0.780822,171,0.18232,33,0.755102,0.81768,0.785146,0.595914,0.815333,0.713519,0.7325,0.166429,0.833571,0.2675,0.731895,0.7325,0.728632,0.575512,0.800753,0.644472,0.707387,0.7325,0.307,0.001,0.296875,0,296.875,0,13431,798279,91079,91,66.75,?,?,?,?,?
